dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	SS64	89	0.505	0.545	0.5031646825396825	0.5453128121878121	0.505	0.545	3.641749143600464	0.04272913932800293
gaussian	SS64	90	0.47	0.595	0.43448125585291886	0.5125573327531192	0.47	0.595	3.5164334774017334	0.04255819320678711
gaussian	HS64	91	0.505	0.565	0.405423396048396	0.43048744582626713	0.505	0.565	3.759329319000244	0.03225541114807129
gaussian	HS64	92	0.505	0.635	0.49384189217847063	0.6372749752874028	0.505	0.635	3.6769747734069824	0.04269695281982422
gaussian	HS64	93	0.535	0.605	0.4782788875689523	0.5728025911932468	0.535	0.605	3.654381275177002	0.04291057586669922
gaussian	HS64	94	0.525	0.57	0.47621301772573926	0.5356010970895645	0.525	0.57	3.7136244773864746	0.033402204513549805
gaussian	HS64	95	0.52	0.635	0.4425791905434233	0.5353322666715015	0.52	0.635	3.6508424282073975	0.042604684829711914
gaussian	HS64	96	0.465	0.555	0.42085702278957937	0.5258264808884466	0.465	0.555	3.6527791023254395	0.034078121185302734
gaussian	HS64	97	0.495	0.555	0.4619651483781918	0.4645865838935658	0.495	0.555	3.736776113510132	0.0329892635345459
gaussian	HS64	98	0.525	0.61	0.420730876355118	0.5169845899515566	0.525	0.61	3.560410499572754	0.033187150955200195
gaussian	HS64	99	0.51	0.595	0.3981881467295665	0.478635848438427	0.51	0.595	3.5106208324432373	0.04272031784057617
gaussian	HS64	100	0.52	0.545	0.3961165063283219	0.4505752378938341	0.52	0.545	3.7768337726593018	0.032543182373046875
gaussian	H16	101	0.775	0.705	0.7860801035031981	0.6995140553604313	0.775	0.705	3.7303249835968018	0.033159494400024414
gaussian	H16	102	0.645	0.735	0.6159852338860317	0.7014011685755384	0.645	0.735	3.7185702323913574	0.03412914276123047
gaussian	H16	103	0.74	0.74	0.736790405129139	0.7222722554742852	0.74	0.74	3.6106908321380615	0.034088134765625
gaussian	H16	104	0.575	0.62	0.514620481538693	0.5388323644221532	0.575	0.62	4.001581192016602	0.03281354904174805
gaussian	H16	105	0.585	0.645	0.540226896181344	0.5939719969165367	0.585	0.645	3.7953288555145264	0.03442716598510742
gaussian	H16	106	0.7	0.76	0.5821120886891236	0.7612089178037453	0.7	0.76	3.8192245960235596	0.0350949764251709
gaussian	H16	107	0.62	0.715	0.5236608875677866	0.662643462162914	0.62	0.715	3.9663124084472656	0.033370256423950195
gaussian	H16	108	0.645	0.69	0.594445449442547	0.6727184215123242	0.645	0.69	3.9058446884155273	0.03415179252624512
gaussian	H16	109	0.69	0.7	0.6644051637206123	0.6526662301806451	0.69	0.7	3.808434009552002	0.034760236740112305
gaussian	H16	110	0.705	0.735	0.6905060247381493	0.7538239538239538	0.705	0.735	3.8400068283081055	0.033905744552612305
gaussian	S16	111	0.555	0.54	0.5458740784002596	0.5499577122337864	0.555	0.54	3.64841365814209	0.03260469436645508
gaussian	S16	112	0.49	0.54	0.5099225282215432	0.5616885788159848	0.49	0.54	3.597609043121338	0.033180952072143555
