dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	S4	486	0.33	0.515	0.375	0.35	0.21483304224021987	0.45266090639775614	0.2694122807017544	0.231597218403026	0.33	0.515	0.375	0.35	0.09884786605834961	4.468024969100952	0.03280520439147949	0.0349583625793457
gaussian	S4	487	0.415	0.44	0.36	0.31	0.2942540117366358	0.40479147667756743	0.24675191344080658	0.20434392366309315	0.415	0.44	0.36	0.31	0.10045671463012695	4.898717880249023	0.03227376937866211	0.0343775749206543
gaussian	S4	488	0.505	0.53	0.41	0.335	0.32255653227000014	0.4277286250164296	0.20867211203075006	0.1293536077705828	0.505	0.53	0.41	0.335	0.10107803344726562	4.4248223304748535	0.03254270553588867	0.034801483154296875
gaussian	S4	489	0.335	0.45	0.405	0.325	0.16832391052286022	0.3602639188353474	0.22072230666292897	0.15946943681318682	0.335	0.45	0.405	0.325	0.10184288024902344	4.881188154220581	0.03319096565246582	0.0341339111328125
gaussian	S4	490	0.365	0.405	0.36	0.375	0.1835231598585523	0.2654597507362957	0.17742977847759078	0.16739564818401906	0.365	0.405	0.36	0.375	0.10148906707763672	5.077212572097778	0.03235197067260742	0.03338193893432617
gaussian	S4	491	0.39	0.415	0.375	0.305	0.15844530061941323	0.3339214548804601	0.148872379528393	0.1348119854686081	0.39	0.415	0.375	0.305	0.10447287559509277	5.066964387893677	0.032644033432006836	0.034682273864746094
gaussian	S4	492	0.39	0.425	0.435	0.385	0.21982142857142856	0.332504929866834	0.2801140963246317	0.22619823699571034	0.39	0.425	0.435	0.385	0.10201382637023926	5.116153001785278	0.031919002532958984	0.03472304344177246
gaussian	S4	493	0.5	0.545	0.495	0.43	0.2520198800859178	0.36111929378608	0.25384598727972224	0.22610987805765492	0.5	0.545	0.495	0.43	0.10120010375976562	4.135673999786377	0.033576250076293945	0.03452301025390625
gaussian	S4	494	0.55	0.565	0.45	0.37	0.3687477198022507	0.4316950498487905	0.25260530913936574	0.15667734208196638	0.55	0.565	0.45	0.37	0.10591483116149902	3.698364496231079	0.033770084381103516	0.03496599197387695
gaussian	S4	495	0.31	0.405	0.295	0.26	0.21321573564155505	0.37521299338315467	0.21664317545199896	0.16474442280509177	0.31	0.405	0.295	0.26	0.09578394889831543	5.0052337646484375	0.03238964080810547	0.03518176078796387
gaussian	S4	496	0.42	0.465	0.38	0.38	0.37555729703809	0.45855610382141926	0.3432988099481663	0.34210636710533193	0.42	0.465	0.38	0.38	0.10382986068725586	4.833577394485474	0.03191328048706055	0.034323692321777344
gaussian	S4	497	0.345	0.51	0.37	0.375	0.20567326033573172	0.49244121101253324	0.18820372522137585	0.17692061348413907	0.345	0.51	0.37	0.375	0.09925174713134766	5.009585618972778	0.03282809257507324	0.03472900390625
gaussian	S4	498	0.38	0.37	0.385	0.335	0.21792783349387124	0.2833755205779678	0.2182019977523021	0.14810204228909576	0.38	0.37	0.385	0.335	0.10118746757507324	5.315269231796265	0.032156944274902344	0.034883975982666016
gaussian	S4	499	0.42	0.465	0.41	0.405	0.337474698970902	0.43750211468082917	0.25905081965907034	0.27472710980775494	0.42	0.465	0.41	0.405	0.10428857803344727	4.951822757720947	0.032425880432128906	0.034345388412475586
gaussian	S4	500	0.445	0.59	0.555	0.385	0.2525529661016949	0.5669959942018765	0.3538005833404523	0.24841273514226103	0.445	0.59	0.555	0.385	0.10385441780090332	4.115817070007324	0.03361201286315918	0.034148454666137695
