dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	S4	507	0.62	0.725	0.64	0.615	0.45461154115995106	0.6575469929272159	0.48851624329315907	0.4930949537261418	0.62	0.725	0.64	0.615	0.10305190086364746	2.303010940551758	0.03213620185852051	0.03452181816101074
gaussian	S4	508	0.655	0.655	0.595	0.61	0.5465541657469547	0.5934278255346803	0.4610600646418651	0.5144432104567671	0.655	0.655	0.595	0.61	0.1031029224395752	2.2594540119171143	0.03207683563232422	0.0331728458404541
gaussian	S4	509	0.615	0.675	0.625	0.605	0.5090881626898711	0.66172837038516	0.5115401356318818	0.5329061201468863	0.615	0.675	0.625	0.605	0.10322356224060059	2.296081304550171	0.03259110450744629	0.0346379280090332
gaussian	S4	510	0.635	0.555	0.585	0.57	0.5309702303346371	0.5339948465172613	0.5447807285307286	0.5232850337804256	0.635	0.555	0.585	0.57	0.10351252555847168	2.704481363296509	0.03201174736022949	0.032561540603637695
gaussian	HH4	511	0.675	0.7	0.6	0.615	0.5870653542485742	0.6850662058826095	0.4863926938383312	0.4653053158022102	0.675	0.7	0.6	0.615	0.11612296104431152	2.8730485439300537	0.032867431640625	0.03553628921508789
gaussian	HH4	512	0.69	0.695	0.67	0.705	0.5881204744470478	0.6590013627061371	0.5571972282993789	0.5743811895329805	0.69	0.695	0.67	0.705	0.11881041526794434	2.811150074005127	0.03213667869567871	0.031984567642211914
gaussian	HH4	513	0.67	0.675	0.63	0.64	0.49059230169985374	0.5343487389510748	0.42767326627620744	0.44638603519200537	0.67	0.675	0.63	0.64	0.11936283111572266	3.1997153759002686	0.03211402893066406	0.035709381103515625
gaussian	HH4	514	0.75	0.715	0.78	0.805	0.5325686487545762	0.6625643029232249	0.5962408424908425	0.6285752043083068	0.75	0.715	0.78	0.805	0.11904096603393555	2.8048200607299805	0.033197641372680664	0.033615827560424805
gaussian	HH4	515	0.685	0.68	0.725	0.765	0.3992435762183662	0.4696837594393982	0.4355608054396945	0.46025954916639905	0.685	0.68	0.725	0.765	0.12093377113342285	2.7374067306518555	0.03257870674133301	0.034241676330566406
gaussian	HH4	516	0.695	0.655	0.72	0.73	0.5328839902994111	0.5823065125681464	0.5461965807145278	0.5587616679593578	0.695	0.655	0.72	0.73	0.11819744110107422	3.188861846923828	0.032248735427856445	0.03506350517272949
gaussian	HH4	517	0.74	0.58	0.705	0.695	0.5695549090779688	0.4707455538444224	0.532870060793148	0.5131405371669063	0.74	0.58	0.705	0.695	0.1189718246459961	3.7578516006469727	0.031769514083862305	0.03281760215759277
