dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H4	124	0.195	0.275	0.15542229382106293	0.23161957159786195	0.195	0.275	0.3792886734008789	0.03325653076171875
gaussian	H4	125	0.265	0.25	0.19567560636457	0.19912393582344848	0.265	0.25	0.37485790252685547	0.03273463249206543
gaussian	H4	126	0.37	0.305	0.24936914936914936	0.22298517907544346	0.37	0.305	0.34819960594177246	0.03272557258605957
gaussian	H4	127	0.31	0.3	0.20616151866151866	0.1569016767546179	0.31	0.3	0.3715031147003174	0.03199148178100586
gaussian	H4	128	0.275	0.28	0.18313544199893877	0.1983339762259169	0.275	0.28	0.37809133529663086	0.03331589698791504
gaussian	H4	129	0.325	0.36	0.12177691589456295	0.179468909105567	0.325	0.36	0.3744471073150635	0.03333282470703125
gaussian	H4	130	0.355	0.38	0.20362889983579638	0.22694099378881988	0.355	0.38	0.3655097484588623	0.03224825859069824
gaussian	E4	131	0.325	0.375	0.17230018872262565	0.23259479611812095	0.325	0.375	0.4067564010620117	0.032097816467285156
gaussian	E4	132	0.37	0.365	0.22789835347401138	0.18047847840175044	0.37	0.365	0.4019451141357422	0.03286433219909668
gaussian	E4	133	0.27	0.285	0.16795521972229752	0.2026078685957105	0.27	0.285	0.4060335159301758	0.033701419830322266
gaussian	E4	134	0.3	0.355	0.16425464352638325	0.22777967328370555	0.3	0.355	0.44111013412475586	0.033472299575805664
gaussian	E4	135	0.295	0.36	0.23748355723735762	0.29357383175714513	0.295	0.36	0.41725659370422363	0.03336906433105469
gaussian	E4	136	0.27	0.285	0.21870513400908898	0.2221672216315364	0.27	0.285	0.3871760368347168	0.03323507308959961
gaussian	E4	137	0.475	0.49	0.14697223654804883	0.18284519086226864	0.475	0.49	0.3880274295806885	0.03214406967163086
gaussian	E4	138	0.275	0.305	0.21169632941965832	0.2628800269238916	0.275	0.305	0.3918938636779785	0.03283286094665527
gaussian	E4	139	0.265	0.37	0.21415361833092406	0.3416889178423843	0.265	0.37	0.4182755947113037	0.03320479393005371
gaussian	E4	140	0.32	0.365	0.23454799333112816	0.28133325008325005	0.32	0.365	0.41588592529296875	0.03182029724121094
gaussian	S4	141	0.33	0.35	0.15223158759772565	0.19968556631692225	0.33	0.35	0.3894352912902832	0.03409981727600098
gaussian	S4	142	0.32	0.37	0.15460482160825748	0.19477287552630018	0.32	0.37	0.39113521575927734	0.03315854072570801
gaussian	S4	143	0.365	0.395	0.1949668431555138	0.24575019278966648	0.365	0.395	0.3738057613372803	0.03239274024963379
gaussian	S4	144	0.325	0.365	0.19881755365718345	0.2851190491450308	0.325	0.365	0.3682522773742676	0.034140825271606445
gaussian	S4	145	0.27	0.3	0.2258130192004952	0.25455272167216225	0.27	0.3	0.3778719902038574	0.03203558921813965
gaussian	S4	146	0.27	0.31	0.14320887445887445	0.20994879302671263	0.27	0.31	0.3698279857635498	0.03179478645324707
gaussian	S4	147	0.385	0.37	0.22552524757843653	0.21340346136966912	0.385	0.37	0.3888382911682129	0.0325007438659668
gaussian	S4	148	0.425	0.435	0.2494347518457305	0.2716040658687717	0.425	0.435	0.3747866153717041	0.0329890251159668
gaussian	S4	149	0.275	0.355	0.13847500143752517	0.21917772373568412	0.275	0.355	0.3183109760284424	0.03227496147155762
gaussian	S4	150	0.285	0.285	0.15621591594727557	0.2276499117901472	0.285	0.285	0.3694593906402588	0.031687021255493164
gaussian	HH4	151	0.3	0.315	0.18611745356037152	0.2096843671679198	0.3	0.315	0.3622279167175293	0.032831668853759766
gaussian	HH4	152	0.285	0.285	0.12419378312957685	0.15944635361247028	0.285	0.285	0.3562328815460205	0.03167581558227539
gaussian	HH4	153	0.35	0.335	0.23481249213373961	0.2498192434116895	0.35	0.335	0.3262505531311035	0.03425335884094238
