curvature	seed	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
0.5	78	0.21516211	0.008970975875854492	0.16999915	0.10358667373657227	0.2951736	0.760735034942627	0.17061897	0.7877695560455322	0.18737894	5.194870471954346	0.19463646	5.1967973709106445
0.5	79	0.17724113	0.009131669998168945	0.1783261	0.10528349876403809	0.32586992	0.7657899856567383	0.18770742	0.8470907211303711	0.18889743	5.2013466358184814	0.22177246	5.193620204925537
1.0	80	0.20733117	0.009092569351196289	0.20323789	0.10435605049133301	0.2672778	0.7703697681427002	0.20747313	0.814617395401001	0.21098377	5.198938608169556	0.21700275	5.2168004512786865
1.0	81	0.18173891	0.009171485900878906	0.18620276	0.10534214973449707	0.27670133	0.7635929584503174	0.18189102	0.7969560623168945	0.19077814	5.196820020675659	0.1998265	5.20239520072937
1.0	82	0.22465532	0.009146928787231445	0.22001077	0.10796284675598145	0.3333022	0.7784543037414551	0.222436	0.8027229309082031	0.21801974	5.21064567565918	0.22176859	5.217498064041138
1.0	83	0.19338632	0.009494781494140625	0.19224025	0.10829353332519531	0.26328376	0.8138506412506104	0.19929515	0.8367588520050049	0.2041185	5.204999685287476	0.21326807	5.2009806632995605
1.0	84	0.23265648	0.009080886840820312	0.22884786	0.10472679138183594	0.3251705	0.7729701995849609	0.234485	0.7974715232849121	0.24307212	5.180494546890259	0.22774144	5.184757947921753
1.0	85	0.18162508	0.009073257446289062	0.17250983	0.10433244705200195	0.28640935	0.7697207927703857	0.16881081	0.8132095336914062	0.17713225	5.175421237945557	0.24093948	5.180838346481323
1.0	86	0.22574478	0.00889444351196289	0.21562816	0.10314416885375977	0.30108893	0.7483391761779785	0.21955755	0.8028442859649658	0.21810606	5.196256160736084	0.3052843	5.188235759735107
1.0	87	0.19163805	0.009019136428833008	0.19109286	0.10466408729553223	0.34201938	0.7679622173309326	0.20238845	0.8056683540344238	0.20370075	5.1841981410980225	0.22856288	5.199502229690552
1.0	88	0.16095631	0.009373664855957031	0.16117093	0.10631752014160156	0.29392716	0.7682855129241943	0.16284554	0.7920947074890137	0.16997814	5.189480543136597	0.23606744	5.191863775253296
1.0	89	0.17684755	0.009002208709716797	0.17271003	0.10339593887329102	0.2634599	0.7732288837432861	0.17471011	0.829744815826416	0.1757837	5.192368268966675	0.22113807	5.253281354904175
2.0	90	0.27672094	0.009261131286621094	0.2774951	0.10843729972839355	0.3662779	0.7689764499664307	0.28701153	0.7896630764007568	0.29766813	5.200860500335693	0.29023036	5.199487209320068
2.0	91	0.15934992	0.009125232696533203	0.15190296	0.10604071617126465	0.22089224	0.7659385204315186	0.15431184	0.8045029640197754	0.16143	5.200075387954712	0.15919514	5.194199085235596
2.0	92	0.17497894	0.008995294570922852	0.17463338	0.10674667358398438	0.23079781	0.755366325378418	0.18689542	0.782249927520752	0.28557298	5.193071603775024	0.21615699	5.199521780014038
2.0	93	0.23157716	0.009050607681274414	0.23371184	0.10605263710021973	0.30880746	0.7775659561157227	0.23779246	0.806692361831665	0.24145555	5.204463481903076	0.24755429	5.214162349700928
2.0	94	0.20780243	0.009055376052856445	0.20559357	0.10412859916687012	0.2640411	0.7979204654693604	0.20660214	0.8446512222290039	0.2051178	5.20804238319397	0.2082657	5.214555501937866
2.0	95	0.20788462	0.008981704711914062	0.19244955	0.10537242889404297	0.24797828	0.8009696006774902	0.1975488	0.8303563594818115	0.24235891	5.204782247543335	0.20072132	5.209164619445801
2.0	96	0.1887434	0.008933067321777344	0.182266	0.10420775413513184	0.28498426	0.8087277412414551	0.18823898	0.8569700717926025	0.18942863	5.210353374481201	0.19479896	5.207216262817383
2.0	97	0.2059125	0.009192705154418945	0.20012529	0.10489535331726074	0.27058965	0.7659378051757812	0.20860343	0.8514957427978516	0.20930894	5.199633359909058	0.212202	5.197909116744995
2.0	98	0.23892653	0.009163379669189453	0.23067555	0.10607171058654785	0.2804614	0.7773003578186035	0.2406542	0.795172929763794	0.24979323	5.186901807785034	0.24666937	5.187422037124634
2.0	99	0.21945757	0.008889198303222656	0.22075143	0.1050419807434082	0.26407856	0.7783324718475342	0.23528093	0.8048336505889893	0.23860238	5.18961501121521	0.24136643	5.190685987472534
4.0	100	0.21111593	0.009013652801513672	0.20744555	0.10530257225036621	0.26115084	0.804053783416748	0.2085482	0.8355350494384766	0.22013943	5.198557376861572	0.27727962	5.207403659820557
4.0	101	0.2389527	0.009052038192749023	0.2264641	0.10625958442687988	0.28007355	0.7770371437072754	0.22448683	0.8167147636413574	0.2286694	5.197459697723389	0.28287622	5.203385829925537
4.0	102	0.18581517	0.009321212768554688	0.18061315	0.10851049423217773	0.24452686	0.7846364974975586	0.19138056	0.8244144916534424	0.19167668	5.203321218490601	0.24825783	5.200622797012329
4.0	103	0.20513088	0.009184122085571289	0.20245333	0.10797905921936035	0.2994382	0.7934062480926514	0.20133252	0.8159408569335938	0.20275871	5.196081876754761	0.22958252	5.202571868896484
4.0	104	0.19080423	0.009333372116088867	0.19071804	0.10854673385620117	0.25505117	0.8003489971160889	0.19451678	0.830474853515625	0.19589643	5.201234817504883	0.22657716	5.208386421203613
4.0	105	0.21377599	0.009418725967407227	0.21217059	0.10728907585144043	0.24162659	0.7716259956359863	0.21254842	0.7975876331329346	0.21308859	5.219229221343994	0.22472769	5.2129199504852295
4.0	106	0.1985924	0.009131908416748047	0.20135179	0.10537266731262207	0.2668258	0.7680079936981201	0.21033636	0.8103680610656738	0.2092525	5.222312927246094	0.24551892	5.21888279914856
4.0	107	0.23421304	0.009462833404541016	0.22884823	0.10959029197692871	0.31887227	0.7847573757171631	0.23278672	0.8193490505218506	0.23722373	5.222124338150024	0.33790395	5.213723421096802
4.0	108	0.1882537	0.009189367294311523	0.18554008	0.10606551170349121	0.2623594	0.7686946392059326	0.18900728	0.8224465847015381	0.18834238	5.2071449756622314	0.26204607	5.1992645263671875
4.0	109	0.23424521	0.009215116500854492	0.23285465	0.10660648345947266	0.2982742	0.77091383934021	0.23139317	0.7995016574859619	0.23298123	5.1760241985321045	0.2912924	5.1810266971588135
