signature	seed	sklearn_dt_rmse	sklearn_dt_time	sklearn_rf_rmse	sklearn_rf_time	product_dt_rmse	product_dt_time	product_rf_rmse	product_rf_time	tangent_dt_rmse	tangent_dt_time	tangent_rf_rmse	tangent_rf_time	knn_rmse	knn_time	tangent_mlp_rmse	tangent_mlp_time	ambient_mlp_rmse	ambient_mlp_time	tangent_gnn_rmse	tangent_gnn_time	ambient_gnn_rmse	ambient_gnn_time
SS	36	0.23215193654065572	0.0014553070068359375	0.22281858980253366	0.015747785568237305	0.22331564	0.010230541229248047	0.2210279	0.11155986785888672	0.2284614553356719	0.0011494159698486328	0.2214190352527513	0.015875816345214844	0.22860548	0.002866029739379883	0.33941153	0.7774698734283447	0.22984543	0.8110501766204834	0.2511015	5.195863485336304	0.46081737	5.181485414505005
SS	37	0.22024446209103418	0.0014765262603759766	0.21047920696987454	0.015671491622924805	0.21776144	0.00973820686340332	0.2134527	0.10769295692443848	0.2163418067033986	0.0010840892791748047	0.21105471452158753	0.015796184539794922	0.22463675	0.002985715866088867	0.31646776	0.7578577995300293	0.2170232	0.8078076839447021	0.35455954	5.203229188919067	0.509577	5.206012487411499
SS	38	0.2002727793116815	0.0014662742614746094	0.1872369590562184	0.01636981964111328	0.19242863	0.009857177734375	0.18585338	0.10634183883666992	0.19307557331665243	0.0011067390441894531	0.18797704818631003	0.015719890594482422	0.19416371	0.002890348434448242	0.29462466	0.7584164142608643	0.20174645	0.789207935333252	0.2075831	5.201759099960327	0.6698956	5.245697259902954
SS	39	0.2385741781634913	0.0014564990997314453	0.22588011737959937	0.015769243240356445	0.23178099	0.009974002838134766	0.22627698	0.10801577568054199	0.23327553915932345	0.0010943412780761719	0.2279151957948063	0.015697240829467773	0.23846683	0.0029327869415283203	0.33869305	0.7755179405212402	0.2401377	0.7923843860626221	0.2740215	5.206238746643066	0.640624	5.199740171432495
SE	40	0.2277915274342587	0.0013527870178222656	0.21634694595984488	0.01586127281188965	0.21718074	0.010236024856567383	0.21144809	0.1097722053527832	0.22431572861787358	0.0011379718780517578	0.21442334448246284	0.01593017578125	0.2125469	0.002825498580932617	0.33206105	0.7743258476257324	0.22334482	0.8097336292266846	1.3463247	5.194735527038574	2.1068842	5.209698438644409
SE	41	0.13537848626008453	0.0012884140014648438	0.1322443124827668	0.015796184539794922	0.13484567	0.010117530822753906	0.13515405	0.1107325553894043	0.13505379789404218	0.0011165142059326172	0.13393530902151304	0.01590442657470703	0.13834116	0.00276947021484375	0.2585834	0.7500402927398682	0.1391111	0.7878799438476562	0.15496236	5.206027984619141	0.22538243	5.203145742416382
SE	42	0.22043255734650727	0.0013477802276611328	0.2124805925713409	0.01574563980102539	0.21396425	0.010663747787475586	0.2116703	0.10834836959838867	0.2205078155073279	0.0010886192321777344	0.21393959705308688	0.015575885772705078	0.22382635	0.0027370452880859375	0.29632127	0.7570164203643799	0.22274587	0.8031578063964844	0.23294489	5.211657524108887	0.41130495	5.200639009475708
SE	43	0.22570671689556845	0.0013608932495117188	0.21338216940819033	0.015629291534423828	0.21511954	0.010703086853027344	0.21065067	0.10870623588562012	0.22172221924366178	0.001087188720703125	0.21614515733013978	0.015573978424072266	0.21609473	0.0027055740356445312	0.2659836	0.7527759075164795	0.23115143	0.8016507625579834	0.23720989	5.212959289550781	0.28539634	5.205927133560181
SE	44	0.19857123847325395	0.0012905597686767578	0.19463449344143896	0.01577472686767578	0.20901579	0.010591268539428711	0.19483566	0.11373543739318848	0.20154586395128632	0.001117706298828125	0.19746524283424724	0.015680551528930664	0.20405242	0.0029299259185791016	0.29696125	0.7745907306671143	0.19852985	0.8184511661529541	0.20582025	5.201377868652344	0.30719882	5.198767423629761
SE	45	0.16990392168080196	0.0013000965118408203	0.16135632788957874	0.015839576721191406	0.17672594	0.01000523567199707	0.1664877	0.11191606521606445	0.16213143070899735	0.001129150390625	0.16311693282875397	0.015763044357299805	0.16484371	0.0028257369995117188	0.30974743	0.7763767242431641	0.17002898	0.8019537925720215	0.20189855	5.199005126953125	0.1843973	5.200145244598389
