curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
-0.5	39	0.335	0.335	0.010290145874023438	0.355	0.355	0.11101770401000977	0.36	0.36	0.7471938133239746	0.275	0.275	0.7744617462158203	0.26	0.26	5.222676992416382	0.255	0.255	5.2242655754089355
-0.25	40	0.22	0.22	0.010483264923095703	0.23	0.23	0.11558175086975098	0.26	0.26	0.7292213439941406	0.225	0.225	0.7597756385803223	0.245	0.245	5.224365949630737	0.165	0.165	5.239233493804932
-0.25	41	0.27	0.27	0.010297298431396484	0.29	0.29	0.111297607421875	0.26	0.26	0.7423903942108154	0.29	0.29	0.7682723999023438	0.235	0.235	5.22686505317688	0.215	0.215	5.243925094604492
-0.25	42	0.175	0.175	0.010447978973388672	0.205	0.205	0.11488914489746094	0.175	0.175	0.7330694198608398	0.22	0.22	0.766380786895752	0.18	0.18	5.234905242919922	0.135	0.135	5.233192682266235
-0.25	43	0.33	0.33	0.010190725326538086	0.335	0.335	0.11571621894836426	0.35	0.35	0.720665693283081	0.285	0.285	0.7606866359710693	0.24	0.24	5.229733228683472	0.28	0.28	5.237703561782837
-0.25	44	0.285	0.285	0.010341644287109375	0.305	0.305	0.1137533187866211	0.215	0.215	0.7556159496307373	0.2	0.2	0.7969157695770264	0.165	0.165	5.222929000854492	0.26	0.26	5.21767520904541
-0.25	45	0.32	0.32	0.011321067810058594	0.3	0.3	0.11798644065856934	0.23	0.23	0.7568919658660889	0.315	0.315	0.7931215763092041	0.26	0.26	5.211518287658691	0.285	0.285	5.222179174423218
-0.25	46	0.36	0.36	0.009834527969360352	0.36	0.36	0.11419439315795898	0.35	0.35	0.7502551078796387	0.32	0.32	0.7725484371185303	0.395	0.395	5.208211421966553	0.235	0.235	5.210590124130249
-0.25	47	0.345	0.345	0.009940385818481445	0.37	0.37	0.1093149185180664	0.35	0.35	0.7441794872283936	0.33	0.33	0.7674334049224854	0.375	0.375	5.2237632274627686	0.285	0.285	5.232299327850342
-0.25	48	0.29	0.29	0.010318517684936523	0.31	0.31	0.11151313781738281	0.255	0.255	0.7483649253845215	0.31	0.31	0.7733073234558105	0.26	0.26	5.217694044113159	0.235	0.235	5.222902297973633
-0.25	49	0.235	0.235	0.010247468948364258	0.265	0.265	0.11251139640808105	0.19	0.19	0.7440648078918457	0.24	0.24	0.7867724895477295	0.25	0.25	5.211410999298096	0.15	0.15	5.219254732131958
0.0	50	0.345	0.345	0.010454177856445312	0.325	0.325	0.10756516456604004	0.25	0.25	0.7342143058776855	0.32	0.32	0.7775113582611084	0.21	0.21	5.222000360488892	0.21	0.21	5.219451189041138
0.0	51	0.22	0.22	0.009560108184814453	0.18	0.18	0.10697460174560547	0.185	0.185	0.736748218536377	0.235	0.235	0.7707812786102295	0.175	0.175	5.224595069885254	0.175	0.175	5.235508918762207
0.0	52	0.23	0.23	0.009586095809936523	0.285	0.285	0.1070561408996582	0.25	0.25	0.7321720123291016	0.26	0.26	0.77504563331604	0.2	0.2	5.2231903076171875	0.2	0.2	5.229285955429077
0.0	53	0.285	0.285	0.009325742721557617	0.29	0.29	0.101654052734375	0.255	0.255	0.7253026962280273	0.23	0.23	0.7694878578186035	0.255	0.255	5.23383903503418	0.255	0.255	5.228318214416504
0.0	54	0.285	0.285	0.009558916091918945	0.295	0.295	0.10631775856018066	0.265	0.265	0.7318503856658936	0.305	0.305	0.7564988136291504	0.26	0.26	5.221880674362183	0.26	0.26	5.23499608039856
0.0	55	0.275	0.275	0.009767293930053711	0.28	0.28	0.11034393310546875	0.225	0.225	0.7331159114837646	0.23	0.23	0.7753109931945801	0.275	0.275	5.210826396942139	0.275	0.275	5.204737901687622
0.0	56	0.33	0.33	0.009207487106323242	0.335	0.335	0.10354065895080566	0.25	0.25	0.7236156463623047	0.295	0.295	0.7671644687652588	0.225	0.225	5.202610492706299	0.225	0.225	5.200292587280273
0.0	57	0.28	0.28	0.009211301803588867	0.345	0.345	0.09675860404968262	0.255	0.255	0.7359895706176758	0.27	0.27	0.7723360061645508	0.21	0.21	5.204150676727295	0.21	0.21	5.212106227874756
0.0	58	0.31	0.31	0.009378671646118164	0.32	0.32	0.1065976619720459	0.25	0.25	0.7337257862091064	0.23	0.23	0.7712883949279785	0.25	0.25	5.253841161727905	0.25	0.25	5.224802494049072
0.0	59	0.33	0.33	0.009207487106323242	0.375	0.375	0.10451626777648926	0.33	0.33	0.745330810546875	0.26	0.26	0.785858154296875	0.24	0.24	5.222344636917114	0.24	0.24	5.224690914154053
0.25	60	0.22	0.22	0.009339094161987305	0.295	0.295	0.10440421104431152	0.225	0.225	0.7418918609619141	0.23	0.23	0.7741656303405762	0.25	0.25	5.213947534561157	0.26	0.26	5.224391460418701
0.25	61	0.325	0.325	0.00958704948425293	0.345	0.345	0.10476469993591309	0.24	0.24	0.7431716918945312	0.25	0.25	0.7731266021728516	0.31	0.31	5.229286193847656	0.295	0.295	5.2277679443359375
0.25	62	0.3	0.3	0.00924372673034668	0.305	0.305	0.10520148277282715	0.305	0.305	0.7348244190216064	0.195	0.195	0.7735481262207031	0.315	0.315	5.2123260498046875	0.18	0.18	5.227877855300903
0.25	63	0.235	0.235	0.009287834167480469	0.21	0.21	0.10419297218322754	0.235	0.235	0.7317688465118408	0.205	0.205	0.7561230659484863	0.135	0.135	5.228066444396973	0.155	0.155	5.2262773513793945
0.25	64	0.3	0.3	0.0091552734375	0.345	0.345	0.10224485397338867	0.26	0.26	0.7229113578796387	0.265	0.265	0.758840799331665	0.27	0.27	5.219750642776489	0.255	0.255	5.228094100952148
0.25	65	0.28	0.28	0.009120941162109375	0.305	0.305	0.10213017463684082	0.245	0.245	0.7284071445465088	0.265	0.265	0.7577495574951172	0.195	0.195	5.221231698989868	0.205	0.205	5.2314064502716064
